seed,winner,turns,commands,damage,final_hash
1000,Red,27,26,334,1b2e374e5e953299513e8f2b83fe854923eb6110e76d991c5637dad426e47ed7
1001,Red,29,28,361,88afb1fafc2fb4ae069a4364193b5c35b2ad59d60255833c5d7edf4b89f61282
1002,Red,21,20,300,8c968b20a0909cc674093398319b23e6a1f6df4e4357516faa1cc47cb1077d23
1003,Red,33,32,383,a01c113e0bba027a9bb01630128d59c6013df2593b9510a29b2122f4ebefa444
1004,Red,27,26,388,e80a3e3c0783f2f8faa141cdccd473438eb10279ec53824d5630ceaba6c93152
1005,Blue,26,25,352,e38032a2dffdf185790f4a762eed6ae2e010517388d214746a05f1dca9ebdb7a
1006,Red,23,22,378,d8b04c0840460791ec56232ec863b3bf5a40b9e0e7bb67412987f6cb77b3decb
1007,Red,21,20,329,6fa9a5eedc1ff94e55546fe14b6c3291d28fa19e750fc001b318234accf5521f
1008,Blue,22,21,317,27349f668ccdf9f290f275f5aec1a8d1c2f57d67b893fc8edb858380a148b6e7
1009,Blue,24,23,375,15f297c651eeafbcadc5c62ae0183ac949e7ec13d6cdeae5413d3c39a9dd2d4e
1010,Red,25,24,386,afaed01c24fbfa4794f8c13d3c9f31b0627cf9d0009fb5373087c6a2baebb259
1011,Blue,34,33,363,37168e192727ed4e9d2be55e46097e908cf28c64ca9569b8af9cf96275169896
1012,Red,29,28,379,46fae0c737e2f749a963c77032ff7f610c946d719b9fb3e14706b011b27bdd84
1013,Blue,24,23,327,c6dc560dd31543f64c2218717fd1fe7a098bb10fbfa191da937316808934495d
1014,Blue,26,25,360,e0146e05b9da5e2c58ba084eb41c185d4cfdb1ba9646cb5f7dcab30805946410
1015,Red,37,36,377,ad01c4bc137503759a64647584ded31cc7e7144d5144220c03db62099f1b1c22
1016,Blue,22,21,386,be95a22f4aed01734b0b83385cde9f5d75cf3891c4a322f52a89dbbf73c19c77
1017,Red,31,30,392,acc0e3e1edd7f2388e6267814b6de4e6fbc9da0cfa3215e49723a13b41bd0f4a
1018,Red,33,32,389,3c6be59485adf3235e0c4ce79da4c9f9de6cb4ee81a27491c848c741a79bec75
1019,Red,31,30,370,db6de1cc3d4c341045f647077b3397519464593101280158839e9ba253c5efa3
1020,Red,29,28,334,2ea1c176f7038ed49d6876d102e885584a321a467261f6419363579fc3fd6d82
1021,Blue,26,25,322,bd3facfc4b93b7760e6bd974a1cdc7670cc680f65a625bfad08b878163aca5b1
1022,Blue,24,23,328,05537697a1b385c237d7dfb257af90e7632235b86e72c4c404e647589498b9bc
1023,Blue,28,27,393,21c310ef49a30c79c8491b2712213babd1bebff2dc6d35719d8561b7dc4c84b3
1024,Red,27,26,350,533e4dc3b822dd986e3208bee020bb557fb70b1890fcf58e693c061bfe7cef37
1025,Red,25,24,384,003279326d915255807274420878443d7a60d1b4a2aaef401a8b903c142c18e0
1026,Blue,28,27,353,f8f82ab2619450333afb3ee549bce5a3402d3d3aad2ab69b36ff17c550cdcb85
1027,Blue,30,29,354,1b3578e0afb4d9b688ede950f9e0bcbc7c7e61ee77ba0d331d13b069607eebf9
1028,Red,31,30,334,6a645edbbbf63b210c81ce50573d7929b68788b57593a1a5e9fbed2c6a66d86a
1029,Blue,38,37,394,814679644f3f31468334cfbcadb18f8920807e8fcc362b8fd054871d4af9ae03
1030,Draw,201,200,200,53211abaa0a3dd7fd0981b49549fae03c0f59a3a04b5b7b04aa057bd22aaa2c6
1031,Blue,22,21,369,1e629161cbccc059b7814fb5763d2e4b66fb3176106ca588c083b640c3ca627a
1032,Red,31,30,398,3e31e959c3db5969f1b6be98543a002d6e62c91329a872cbeabdc5257d33aebb
1033,Red,27,26,386,24f50e15331288d5451e5ae653d973e5647ac4bc60fde4c282cb4312c3ba79a7
1034,Blue,24,23,300,cb570862c214cdfeb662aaf1f6cf225c7bec54e46ed408a4cbbaa1a4475e2017
1035,Red,31,30,386,ae81dd109abd5acb76368baf67bf6fc113ea29884afb525810e2c97a1b12b066
1036,Blue,24,23,386,ab3c1be8d3942b195aba470580eef050e616130f814c64e2ff81b733880220aa
1037,Red,29,28,378,5854acb7fbe818c023c0b74a7433555c1c020d5c4f1b82d2767928b3c6211f6b
1038,Red,25,24,386,3905ec1bdb18ee95351b5bf592c96cc1b4d53ddf88a347ff7a074e67652143f9
1039,Red,29,28,360,db8712795b9fb588f74d452a71459eb9b575bf66cff40c20ee7d8c8e7f60268f
1040,Red,33,32,358,1273ec9a2082558bc71a16ca54c2f866f0ca10c22a8a979a09777b3edd146df6
1041,Blue,36,35,368,747ce9a195385d74a8e9c028078961f7b7735c54b148ee275940ff71b7239a8b
1042,Blue,32,31,351,fc21c10b0a106f21a287f18c1c6aa6b5f48f240f3fdde9bc326d0dc3c80305a1
1043,Blue,24,23,300,687f6003fa62f7dd7ccbb1273490b8a9e75cf32f6d929c4e8b7a04b2d5c53997
1044,Blue,26,25,300,0d96d7de589cac245a8aeed388a1b8cbb91304f82fbd42db188fe1624fff81e8
1045,Blue,30,29,374,e7a7b3ae3872f96ad0b08b2521c9e4f0185253dd3a10df319851382d2fa7e7d1
1046,Red,25,24,334,931213ebb26d0d1f644361599d3319d01d962306a594add14a725ffba41127ae
1047,Blue,24,23,350,b837c9f4d77e7bec1dcafa4b579c817f661b59bb19dd42578d8e2d9a8af798f8
1048,Red,23,22,386,0f5bdbd879744af56c1e8f26194e881e09370434777dc525709d74826eef2dd6
1049,Red,31,30,371,28826b82688fe74e11f71f97cf5f0cd7294b7a989171401935de3364086ee230
1050,Blue,26,25,381,5ee883c4b8437a7637cae5b2f7988c3d7fbd3333586d0b8400af7543dd7e3fc4
1051,Red,35,34,371,3c3be35dda94c3104f80ed930b45650581883215b42b10ec4506ae49f86d2cbc
1052,Blue,28,27,334,732699659745c20cb45f00afea2c6b537659b87045e8ae43f4215239b3bff545
1053,Blue,26,25,386,5dcf1b8136ab36237316435af2d0e9d5fbc562c5b4d9854a5781bbcf9af64f33
1054,Red,27,26,334,0c6cb71d935e175386899f714900d800cc499fb8a5c2d0e70d9d16248285e1b2
1055,Blue,24,23,372,2a812fe2c04c6ec3f9e4b2bfc451ad6c838d90e8d1f4db0a1486d6d6af1d65de
1056,Blue,26,25,385,1fcb70689da58e5039dda5effa36655747c0ad752a295b70106b39b3356f3be8
1057,Red,23,22,362,b73b420e677c92f4eeaa08003cf40717f40070931dcfbbc8f454e63b1b383229
1058,Red,29,28,368,0e9804d12b4e4291e070ef945eaf479c12813253682f71f245780995736aa8f8
1059,Blue,20,19,300,f90f4a8feebf656c4b8d586b0dfd7013408efed78d91f940fdb997f02fc262e6
1060,Red,25,24,343,b2f40902ab4d27441d7e290820383db7044ff69bd309dc8215f939b238fbdf23
1061,Red,29,28,370,4b1fc8d6e5957289a127fed252fcb505cead52781af74d6288a2ff5251a99223
1062,Red,31,30,389,05b991b165882abdd788e0be5567bfda6e8a9c696e0691dcdc88092f38446249
1063,Blue,24,23,372,13f8758a75b0ddf7e4853c98d8e58b444116a2f6c407dac64fd81d279e573a38
1064,Blue,26,25,386,18c37b9fca3ddc4c064c9b74523777cff08feeb5cc09ad47e4b280e221d61797
1065,Blue,34,33,388,8a770d35208fb0408f7ded8e19c940557392d51b2f7e608d75a05fa7d9cf2a19
1066,Red,27,26,358,1cde4961aacfec8182ce8171e868fd9e43c373d96bf00bd4fb223dbbea8caccb
1067,Red,31,30,324,9096ffe567a53e8b1a1fba2a62df578d17b925dbdb688320949da8074bea74d8
1068,Red,27,26,382,b171bc3589959f00685594cb2ae89e3b9dc36045b86592ddad0aaee058bc41ba
1069,Red,29,28,386,f72e2c4b0a2221690c180c9bc7d2bf084b94e16d5d77a8ff24a950c0889645be
1070,Blue,26,25,322,30dceec432cb07f852ca060360e3505951510f554821d32b77ae1bf836e28673
1071,Red,29,28,377,5ec29155b0e65e3ac9fcf340576eecb1658659786fc2ed0eaf3d01b55bc6eefd
